HourUTC,product,amount,PriceArea,PriceDKK,PriceEUR
2019-05-07T21:00:00+00:00,aFRR_DownActivated,11,DK1,236.01,31.61
2019-05-07T21:00:00+00:00,aFRR_UpActivated,13.2,DK1,599.98,80.36
2019-05-07T20:00:00+00:00,aFRR_DownActivated,7,DK1,280.65,37.59
2019-05-07T20:00:00+00:00,aFRR_UpActivated,15.3,DK1,1980.04,265.2
2019-05-07T19:00:00+00:00,aFRR_DownActivated,0.7,DK1,310.67,41.61
2019-05-07T19:00:00+00:00,aFRR_UpActivated,51.3,DK1,1500.03,200.91
2019-05-07T18:00:00+00:00,aFRR_DownActivated,0,DK1,354.35,47.46
2019-05-07T18:00:00+00:00,aFRR_UpActivated,75.8,DK1,599.98,80.36
2019-05-07T17:00:00+00:00,aFRR_DownActivated,10,DK1,265.42,35.55
2019-05-07T17:00:00+00:00,aFRR_UpActivated,54.8,DK1,465.37,62.33
2019-05-07T16:00:00+00:00,aFRR_DownActivated,26.3,DK1,233.54,31.28
2019-05-07T16:00:00+00:00,aFRR_UpActivated,35.7,DK1,433.49,58.06
2019-05-07T15:00:00+00:00,aFRR_DownActivated,0,DK1,228.09,30.55
2019-05-07T15:00:00+00:00,aFRR_UpActivated,63.6,DK1,428.04,57.33
2019-05-07T14:00:00+00:00,aFRR_DownActivated,13.6,DK1,223.16,29.89
2019-05-07T14:00:00+00:00,aFRR_UpActivated,42.8,DK1,423.11,56.67
2019-05-07T13:00:00+00:00,aFRR_DownActivated,90.9,DK1,223.39,29.92
2019-05-07T13:00:00+00:00,aFRR_UpActivated,0,DK1,423.33,56.7
2019-05-07T12:00:00+00:00,aFRR_DownActivated,77.6,DK1,226.9,30.39
2019-05-07T12:00:00+00:00,aFRR_UpActivated,0,DK1,426.84,57.17
2019-05-07T11:00:00+00:00,aFRR_DownActivated,83.6,DK1,228.76,30.64
2019-05-07T11:00:00+00:00,aFRR_UpActivated,0,DK1,428.71,57.42
2019-05-07T10:00:00+00:00,aFRR_DownActivated,24.5,DK1,231.68,31.03
2019-05-07T10:00:00+00:00,aFRR_UpActivated,0.2,DK1,431.62,57.81
2019-05-07T09:00:00+00:00,aFRR_DownActivated,61.8,DK1,232.27,31.11
2019-05-07T09:00:00+00:00,aFRR_UpActivated,17.6,DK1,432.22,57.89
2019-05-07T08:00:00+00:00,aFRR_DownActivated,0,DK1,237.2,31.77
2019-05-07T08:00:00+00:00,aFRR_UpActivated,81.8,DK1,437.15,58.55
2019-05-07T07:00:00+00:00,aFRR_DownActivated,1.1,DK1,236.01,31.61
2019-05-07T07:00:00+00:00,aFRR_UpActivated,76.1,DK1,435.95,58.39
2019-05-07T06:00:00+00:00,aFRR_DownActivated,97.5,DK1,239.96,32.14
2019-05-07T06:00:00+00:00,aFRR_UpActivated,0,DK1,439.91,58.92
2019-05-07T05:00:00+00:00,aFRR_DownActivated,4.8,DK1,239.29,32.05
2019-05-07T05:00:00+00:00,aFRR_UpActivated,56.1,DK1,439.24,58.83
