HourUTC,PriceArea,product,amount,PriceDKK,PriceEUR
2019-05-09T21:00:00+00:00,SYSTEM,Elspot,1,318.99,42.73
2019-05-09T21:00:00+00:00,SE4,Elspot,1,257.55,34.5
2019-05-09T21:00:00+00:00,SE3,Elspot,1,257.55,34.5
2019-05-09T21:00:00+00:00,NO2,Elspot,1,326.83,43.78
2019-05-09T21:00:00+00:00,DK2,Elspot,1,328.47,44
2019-05-09T21:00:00+00:00,DK1,Elspot,1,328.47,44
2019-05-09T20:00:00+00:00,SYSTEM,Elspot,1,324.44,43.46
2019-05-09T20:00:00+00:00,SE4,Elspot,1,308.62,41.34
2019-05-09T20:00:00+00:00,SE3,Elspot,1,308.62,41.34
2019-05-09T20:00:00+00:00,NO2,Elspot,1,329.74,44.17
2019-05-09T20:00:00+00:00,DK2,Elspot,1,366.32,49.07
2019-05-09T20:00:00+00:00,DK1,Elspot,1,366.32,49.07
2019-05-09T19:00:00+00:00,SYSTEM,Elspot,1,326.38,43.72
2019-05-09T19:00:00+00:00,SE4,Elspot,1,316.53,42.4
2019-05-09T19:00:00+00:00,SE3,Elspot,1,316.53,42.4
2019-05-09T19:00:00+00:00,NO2,Elspot,1,330.56,44.28
2019-05-09T19:00:00+00:00,DK2,Elspot,1,372.52,49.9
2019-05-09T19:00:00+00:00,DK1,Elspot,1,372.52,49.9
2019-05-09T18:00:00+00:00,SYSTEM,Elspot,1,326.08,43.68
2019-05-09T18:00:00+00:00,SE4,Elspot,1,311.08,41.67
2019-05-09T18:00:00+00:00,SE3,Elspot,1,311.08,41.67
2019-05-09T18:00:00+00:00,NO2,Elspot,1,330.94,44.33
2019-05-09T18:00:00+00:00,DK2,Elspot,1,412.38,55.24
2019-05-09T18:00:00+00:00,DK1,Elspot,1,412.38,55.24
2019-05-09T17:00:00+00:00,SYSTEM,Elspot,1,325.49,43.6
2019-05-09T17:00:00+00:00,SE4,Elspot,1,305.85,40.97
2019-05-09T17:00:00+00:00,SE3,Elspot,1,305.85,40.97
2019-05-09T17:00:00+00:00,NO2,Elspot,1,330.49,44.27
2019-05-09T17:00:00+00:00,DK2,Elspot,1,410.96,55.05
2019-05-09T17:00:00+00:00,DK1,Elspot,1,410.96,55.05
2019-05-09T16:00:00+00:00,SYSTEM,Elspot,1,324.52,43.47
2019-05-09T16:00:00+00:00,SE4,Elspot,1,306.45,41.05
2019-05-09T16:00:00+00:00,SE3,Elspot,1,306.45,41.05
2019-05-09T16:00:00+00:00,NO2,Elspot,1,331.31,44.38
2019-05-09T16:00:00+00:00,DK2,Elspot,1,373.12,49.98
2019-05-09T16:00:00+00:00,DK1,Elspot,1,373.12,49.98
2019-05-09T15:00:00+00:00,SYSTEM,Elspot,1,325.71,43.63
2019-05-09T15:00:00+00:00,SE4,Elspot,1,312.35,41.84
2019-05-09T15:00:00+00:00,SE3,Elspot,1,312.35,41.84
2019-05-09T15:00:00+00:00,NO2,Elspot,1,331.38,44.39
2019-05-09T15:00:00+00:00,DK2,Elspot,1,371.1,49.71
2019-05-09T15:00:00+00:00,DK1,Elspot,1,371.1,49.71
2019-05-09T14:00:00+00:00,SYSTEM,Elspot,1,325.64,43.62
2019-05-09T14:00:00+00:00,SE4,Elspot,1,315.56,42.27
2019-05-09T14:00:00+00:00,SE3,Elspot,1,315.56,42.27
2019-05-09T14:00:00+00:00,NO2,Elspot,1,329.07,44.08
2019-05-09T14:00:00+00:00,DK2,Elspot,1,339.97,45.54
2019-05-09T14:00:00+00:00,DK1,Elspot,1,339.97,45.54
2019-05-09T13:00:00+00:00,SYSTEM,Elspot,1,326.08,43.68
2019-05-09T13:00:00+00:00,SE4,Elspot,1,318.32,42.64
2019-05-09T13:00:00+00:00,SE3,Elspot,1,318.32,42.64
2019-05-09T13:00:00+00:00,NO2,Elspot,1,329.29,44.11
2019-05-09T13:00:00+00:00,DK2,Elspot,1,338.4,45.33
2019-05-09T13:00:00+00:00,DK1,Elspot,1,338.4,45.33
2019-05-09T12:00:00+00:00,SYSTEM,Elspot,1,327.28,43.84
2019-05-09T12:00:00+00:00,SE4,Elspot,1,321.83,43.11
2019-05-09T12:00:00+00:00,SE3,Elspot,1,321.83,43.11
2019-05-09T12:00:00+00:00,NO2,Elspot,1,330.64,44.29
2019-05-09T12:00:00+00:00,DK2,Elspot,1,341.61,45.76
2019-05-09T12:00:00+00:00,DK1,Elspot,1,341.61,45.76
2019-05-09T11:00:00+00:00,SYSTEM,Elspot,1,327.73,43.9
2019-05-09T11:00:00+00:00,SE4,Elspot,1,322.58,43.21
2019-05-09T11:00:00+00:00,SE3,Elspot,1,322.58,43.21
2019-05-09T11:00:00+00:00,NO2,Elspot,1,331.53,44.41
2019-05-09T11:00:00+00:00,DK2,Elspot,1,356.54,47.76
2019-05-09T11:00:00+00:00,DK1,Elspot,1,356.54,47.76
2019-05-09T10:00:00+00:00,SYSTEM,Elspot,1,328.1,43.95
2019-05-09T10:00:00+00:00,SE4,Elspot,1,324.96,43.53
2019-05-09T10:00:00+00:00,SE3,Elspot,1,324.96,43.53
2019-05-09T10:00:00+00:00,NO2,Elspot,1,330.56,44.28
2019-05-09T10:00:00+00:00,DK2,Elspot,1,366.17,49.05
2019-05-09T10:00:00+00:00,DK1,Elspot,1,366.17,49.05
2019-05-09T09:00:00+00:00,SYSTEM,Elspot,1,327.95,43.93
2019-05-09T09:00:00+00:00,SE4,Elspot,1,325.19,43.56
2019-05-09T09:00:00+00:00,SE3,Elspot,1,325.19,43.56
2019-05-09T09:00:00+00:00,NO2,Elspot,1,329.97,44.2
2019-05-09T09:00:00+00:00,DK2,Elspot,1,372.74,49.93
2019-05-09T09:00:00+00:00,DK1,Elspot,1,372.74,49.93
2019-05-09T08:00:00+00:00,SYSTEM,Elspot,1,330.64,44.29
2019-05-09T08:00:00+00:00,SE4,Elspot,1,328.7,44.03
2019-05-09T08:00:00+00:00,SE3,Elspot,1,328.7,44.03
2019-05-09T08:00:00+00:00,NO2,Elspot,1,331.24,44.37
2019-05-09T08:00:00+00:00,DK2,Elspot,1,372.89,49.95
2019-05-09T08:00:00+00:00,DK1,Elspot,1,372.89,49.95
2019-05-09T07:00:00+00:00,SYSTEM,Elspot,1,334.22,44.77
2019-05-09T07:00:00+00:00,SE4,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,SE3,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,NO2,Elspot,1,334.07,44.75
2019-05-09T07:00:00+00:00,DK2,Elspot,1,389.61,52.19
2019-05-09T07:00:00+00:00,DK1,Elspot,1,389.61,52.19
2019-05-09T06:00:00+00:00,SYSTEM,Elspot,1,342.06,45.82
2019-05-09T06:00:00+00:00,SE4,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,SE3,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,NO2,Elspot,1,340.94,45.67
2019-05-09T06:00:00+00:00,DK2,Elspot,1,408.05,54.66
2019-05-09T06:00:00+00:00,DK1,Elspot,1,408.05,54.66
2019-05-09T05:00:00+00:00,SYSTEM,Elspot,1,335.94,45
2019-05-09T05:00:00+00:00,SE4,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,SE3,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,NO2,Elspot,1,335.79,44.98
2019-05-09T05:00:00+00:00,DK2,Elspot,1,372.67,49.92
2019-05-09T05:00:00+00:00,DK1,Elspot,1,372.67,49.92
2019-05-09T04:00:00+00:00,SYSTEM,Elspot,1,324.37,43.45
2019-05-09T04:00:00+00:00,SE4,Elspot,1,323.1,43.28
